"Store","Type","Size"
6,A,202505
24,A,203819
13,A,219622
16,B,57197
29,B,93638
45,B,118221
41,A,196321
30,C,42988
42,C,39690
38,C,39690
3,B,37392
40,A,155083
32,A,203007
34,A,158114
26,A,152513
18,B,120653
12,B,112238
23,B,114533
37,C,39910
20,A,203742
19,A,203819
31,A,203750
9,B,125833
4,A,205863
28,A,206302
5,B,34875
1,A,151315
21,B,140167
36,A,39910
15,B,123737
14,A,200898
43,C,41062
8,A,155078
35,B,103681
22,B,119557
2,A,202307
25,B,128107
17,B,93188
39,A,184109
11,A,207499
10,B,126512
27,A,204184
44,C,39910
7,B,70713
33,A,39690
